RoundID,RoundNumber,RoundTime,ATK_wealth,DEF_wealth,ATK_alive,DEF_alive,DEF_has_OP,Def_has_Odin,Spike_1_beep,Spike_2_beep,MapName,MatchID,SeriesID,bestOF,FinalWinner
401713,1,0,300.0,300.0,5,5,0,0,0,0,Icebox,12703,502,3,1
401713,1,32402,300.0,200.0,5,4,0,0,0,0,Icebox,12703,502,3,1
401713,1,35269,200.0,200.0,4,4,0,0,0,0,Icebox,12703,502,3,1
401713,1,37189,200.0,200.0,4,4,0,0,0,0,Icebox,12703,502,3,1
401713,1,47604,200.0,200.0,4,3,0,0,0,0,Icebox,12703,502,3,1
401713,1,50570,200.0,100.0,4,2,0,0,0,0,Icebox,12703,502,3,1
401713,1,50834,200.0,100.0,4,1,0,0,0,0,Icebox,12703,502,3,1
401713,1,51632,200.0,100.0,3,1,0,0,0,0,Icebox,12703,502,3,1
401713,1,53339,200.0,0.0,3,0,0,0,0,0,Icebox,12703,502,3,1
401714,2,0,1680.0,100.0,5,5,0,0,0,0,Icebox,12703,502,3,1
401714,2,31740,1100.0,100.0,4,5,0,0,0,0,Icebox,12703,502,3,1
401714,2,37186,1000.0,100.0,3,5,0,0,0,0,Icebox,12703,502,3,1
401714,2,37519,1000.0,0.0,3,4,0,0,0,0,Icebox,12703,502,3,1
401714,2,37883,1000.0,0.0,3,3,0,0,0,0,Icebox,12703,502,3,1
401714,2,38388,1000.0,0.0,3,3,0,0,0,0,Icebox,12703,502,3,1
401714,2,42493,1000.0,0.0,3,2,0,0,0,0,Icebox,12703,502,3,1
401714,2,43004,680.0,0.0,2,2,0,0,0,0,Icebox,12703,502,3,1
401714,2,59610,680.0,0.0,2,1,0,0,0,0,Icebox,12703,502,3,1
401714,2,66629,680.0,0.0,2,0,0,0,0,0,Icebox,12703,502,3,1
401715,3,0,2640.0,2900.0,5,5,0,0,0,0,Icebox,12703,502,3,0
401715,3,6907,2060.0,2900.0,4,5,0,0,0,0,Icebox,12703,502,3,0
401715,3,35726,1480.0,2900.0,3,5,0,0,0,0,Icebox,12703,502,3,0
401715,3,46311,900.0,2900.0,2,5,0,0,0,0,Icebox,12703,502,3,0
401715,3,57166,580.0,2900.0,1,5,0,0,0,0,Icebox,12703,502,3,0
401715,3,59963,0.0,2900.0,0,5,0,0,0,0,Icebox,12703,502,3,0
401716,4,0,2480.0,2900.0,5,5,0,0,0,0,Icebox,12703,502,3,0
401716,4,6022,2320.0,2900.0,4,5,0,0,0,0,Icebox,12703,502,3,0
401716,4,33718,1740.0,2900.0,3,5,0,0,0,0,Icebox,12703,502,3,0
401716,4,37962,1740.0,2320.0,3,4,0,0,0,0,Icebox,12703,502,3,0
401716,4,38750,1160.0,2320.0,2,4,0,0,0,0,Icebox,12703,502,3,0
401716,4,44094,1160.0,1740.0,2,3,0,0,0,0,Icebox,12703,502,3,0
401716,4,81389,580.0,1740.0,1,3,0,0,0,0,Icebox,12703,502,3,0
401716,4,81795,0.0,1740.0,0,3,0,0,0,0,Icebox,12703,502,3,0
401717,5,0,520.0,2900.0,5,5,0,0,0,0,Icebox,12703,502,3,0
401717,5,13582,520.0,2900.0,4,5,0,0,0,0,Icebox,12703,502,3,0
401717,5,17009,420.0,2900.0,3,5,0,0,0,0,Icebox,12703,502,3,0
401717,5,40147,320.0,2900.0,2,5,0,0,0,0,Icebox,12703,502,3,0
401717,5,42027,160.0,2900.0,1,5,0,0,0,0,Icebox,12703,502,3,0
401717,5,46842,160.0,2320.0,1,4,0,0,0,0,Icebox,12703,502,3,0
401717,5,55573,0.0,2320.0,0,4,0,0,0,0,Icebox,12703,502,3,0
401718,6,0,2900.0,2900.0,5,5,0,0,0,0,Icebox,12703,502,3,0
401718,6,33158,2320.0,2900.0,4,5,0,0,0,0,Icebox,12703,502,3,0
401718,6,45241,2900.0,2900.0,5,5,0,0,0,0,Icebox,12703,502,3,0
401718,6,57324,2900.0,2900.0,5,5,0,0,0,0,Icebox,12703,502,3,0
401718,6,75756,2320.0,2900.0,4,5,0,0,0,0,Icebox,12703,502,3,0
401718,6,76835,2320.0,2320.0,4,4,0,0,0,0,Icebox,12703,502,3,0
401718,6,78354,1740.0,2320.0,3,4,0,0,0,0,Icebox,12703,502,3,0
401718,6,78500,1740.0,1740.0,3,3,0,0,0,0,Icebox,12703,502,3,0
401718,6,81968,1160.0,1740.0,2,3,0,0,0,0,Icebox,12703,502,3,0
401718,6,82692,1160.0,1160.0,2,2,0,0,0,0,Icebox,12703,502,3,0
401718,6,82970,580.0,1160.0,1,2,0,0,0,0,Icebox,12703,502,3,0
401718,6,85563,0.0,1160.0,0,2,0,0,0,0,Icebox,12703,502,3,0
401718,6,93969,0.0,1160.0,0,2,0,0,0,0,Icebox,12703,502,3,0
401719,7,0,2900.0,3320.0,5,5,1,0,0,0,Icebox,12703,502,3,0
401719,7,47591,2320.0,3320.0,4,5,1,0,0,0,Icebox,12703,502,3,0
401719,7,48097,1740.0,3320.0,3,5,1,0,0,0,Icebox,12703,502,3,0
401719,7,49518,1740.0,2740.0,3,4,1,0,0,0,Icebox,12703,502,3,0
401719,7,51233,1160.0,2740.0,2,4,1,0,0,0,Icebox,12703,502,3,0
401719,7,65626,580.0,2740.0,1,4,1,0,0,0,Icebox,12703,502,3,0
401719,7,68398,0.0,2740.0,0,4,1,0,0,0,Icebox,12703,502,3,0
401720,8,0,740.0,3320.0,5,5,1,0,0,0,Icebox,12703,502,3,0
401720,8,11037,580.0,3320.0,4,5,1,0,0,0,Icebox,12703,502,3,0
401720,8,30151,480.0,3320.0,3,5,1,0,0,0,Icebox,12703,502,3,0
401720,8,33245,480.0,2740.0,3,4,1,0,0,0,Icebox,12703,502,3,0
401720,8,34752,480.0,2160.0,3,3,1,0,0,0,Icebox,12703,502,3,0
401720,8,34991,320.0,2160.0,2,3,1,0,0,0,Icebox,12703,502,3,0
401720,8,44871,320.0,2740.0,2,4,1,0,0,0,Icebox,12703,502,3,0
401720,8,54750,320.0,2160.0,2,3,1,0,0,0,Icebox,12703,502,3,0
401720,8,54957,160.0,2160.0,1,3,1,0,0,0,Icebox,12703,502,3,0
401720,8,59138,0.0,2160.0,0,3,1,0,0,0,Icebox,12703,502,3,0
401721,9,0,2900.0,3320.0,5,5,1,0,0,0,Icebox,12703,502,3,0
401721,9,30783,2320.0,3320.0,4,5,1,0,0,0,Icebox,12703,502,3,0
401721,9,32259,1740.0,3320.0,3,5,1,0,0,0,Icebox,12703,502,3,0
401721,9,33414,1160.0,3320.0,2,5,1,0,0,0,Icebox,12703,502,3,0
401721,9,34622,580.0,3320.0,1,5,1,0,0,0,Icebox,12703,502,3,0
401721,9,43335,0.0,3320.0,0,5,1,0,0,0,Icebox,12703,502,3,0
