RoundID,RoundNumber,RoundTime,ATK_wealth,DEF_wealth,ATK_alive,DEF_alive,DEF_has_OP,Def_has_Odin,RegularTime,SpikeTime,MapName,MatchID,SeriesID,bestOF,FinalWinner
401871,1,0,300.0,400.0,5,5,0,0,0,0,Haven,12728,502,3,0
401871,1,11970,200.0,400.0,4,5,0,0,12,0,Haven,12728,502,3,0
401871,1,15758,200.0,400.0,3,5,0,0,16,0,Haven,12728,502,3,0
401871,1,17327,100.0,400.0,2,5,0,0,17,0,Haven,12728,502,3,0
401871,1,22098,100.0,300.0,2,4,0,0,22,0,Haven,12728,502,3,0
401871,1,29667,100.0,200.0,2,3,0,0,30,0,Haven,12728,502,3,0
401871,1,30954,100.0,200.0,1,3,0,0,31,0,Haven,12728,502,3,0
401871,1,32588,0.0,200.0,0,3,0,0,33,0,Haven,12728,502,3,0
401872,2,0,360.0,1380.0,5,5,0,0,0,0,Haven,12728,502,3,0
401872,2,3020,260.0,1380.0,4,5,0,0,3,0,Haven,12728,502,3,0
401872,2,4425,260.0,1380.0,3,5,0,0,4,0,Haven,12728,502,3,0
401872,2,50637,160.0,1380.0,2,5,0,0,51,0,Haven,12728,502,3,0
401872,2,56765,160.0,1380.0,1,5,0,0,57,0,Haven,12728,502,3,0
401872,2,59146,0.0,1380.0,0,5,0,0,59,0,Haven,12728,502,3,0
401873,3,0,2900.0,1860.0,5,5,0,0,0,0,Haven,12728,502,3,0
401873,3,82719,2320.0,1860.0,4,5,0,0,83,0,Haven,12728,502,3,0
401873,3,99069,2320.0,1540.0,4,4,0,0,99,0,Haven,12728,502,3,0
401874,4,0,2640.0,2380.0,5,5,0,0,0,0,Haven,12728,502,3,0
401874,4,18299,2320.0,2380.0,4,5,0,0,18,0,Haven,12728,502,3,0
401874,4,20372,1740.0,2380.0,3,5,0,0,20,0,Haven,12728,502,3,0
401874,4,21297,1740.0,1800.0,3,4,0,0,21,0,Haven,12728,502,3,0
401874,4,32601,1160.0,1800.0,2,4,0,0,33,0,Haven,12728,502,3,0
401874,4,32833,1160.0,1480.0,2,3,0,0,33,0,Haven,12728,502,3,0
401874,4,34007,580.0,1480.0,1,3,0,0,34,0,Haven,12728,502,3,0
401874,4,47086,0.0,1480.0,0,3,0,0,47,0,Haven,12728,502,3,0
401875,5,0,1220.0,2900.0,5,5,0,0,0,0,Haven,12728,502,3,0
401875,5,25881,1060.0,2900.0,4,5,0,0,26,0,Haven,12728,502,3,0
401875,5,58592,1060.0,2320.0,4,4,0,0,59,0,Haven,12728,502,3,0
401875,5,66799,900.0,2320.0,3,4,0,0,67,0,Haven,12728,502,3,0
401875,5,68226,580.0,2320.0,2,4,0,0,68,0,Haven,12728,502,3,0
401875,5,72417,420.0,2320.0,1,4,0,0,72,0,Haven,12728,502,3,0
401875,5,77447,420.0,1740.0,1,3,0,0,77,0,Haven,12728,502,3,0
401875,5,81632,0.0,1740.0,0,3,0,0,82,0,Haven,12728,502,3,0
401876,6,0,2900.0,2900.0,5,5,0,0,0,0,Haven,12728,502,3,0
401876,6,7220,2320.0,2900.0,4,5,0,0,7,0,Haven,12728,502,3,0
401876,6,9026,1740.0,2900.0,3,5,0,0,9,0,Haven,12728,502,3,0
401876,6,55266,1160.0,2900.0,2,5,0,0,55,0,Haven,12728,502,3,0
401876,6,70572,580.0,2900.0,1,5,0,0,71,0,Haven,12728,502,3,0
401876,6,76440,0.0,2900.0,0,5,0,0,76,0,Haven,12728,502,3,0
401877,7,0,1220.0,2900.0,5,5,0,0,0,0,Haven,12728,502,3,0
401877,7,57422,1220.0,2320.0,5,4,0,0,57,0,Haven,12728,502,3,0
401877,7,60864,1060.0,2320.0,4,4,0,0,61,0,Haven,12728,502,3,0
401877,7,67499,900.0,2320.0,3,4,0,0,67,0,Haven,12728,502,3,0
401877,7,75033,580.0,2320.0,2,4,0,0,75,0,Haven,12728,502,3,0
401877,7,76251,160.0,2320.0,1,4,0,0,76,0,Haven,12728,502,3,0
401877,7,90024,0.0,2320.0,0,4,0,0,90,0,Haven,12728,502,3,0
401878,8,0,2900.0,2900.0,5,5,0,0,0,0,Haven,12728,502,3,1
401878,8,9943,2900.0,2320.0,5,4,0,0,10,0,Haven,12728,502,3,1
401878,8,44598,2320.0,2320.0,4,4,0,0,45,0,Haven,12728,502,3,1
401878,8,78879,2320.0,1740.0,4,3,0,0,79,0,Haven,12728,502,3,1
401878,8,79535,1740.0,1740.0,3,3,0,0,80,0,Haven,12728,502,3,1
401878,8,80159,1740.0,1160.0,3,2,0,0,80,0,Haven,12728,502,3,1
401878,8,81479,1740.0,580.0,3,1,0,0,81,0,Haven,12728,502,3,1
401878,8,86839,1740.0,580.0,3,1,0,0,87,0,Haven,12728,502,3,1
401878,8,98041,1740.0,0.0,3,0,0,0,0,11,Haven,12728,502,3,1
401879,9,0,2900.0,3380.0,5,5,1,1,0,0,Haven,12728,502,3,0
401879,9,6333,2320.0,3380.0,4,5,1,1,6,0,Haven,12728,502,3,0
401879,9,9334,1740.0,3380.0,3,5,1,1,9,0,Haven,12728,502,3,0
401879,9,40111,1740.0,2740.0,3,4,1,0,40,0,Haven,12728,502,3,0
401879,9,46202,1160.0,2740.0,2,4,1,0,46,0,Haven,12728,502,3,0
401879,9,50679,1160.0,2160.0,2,3,1,0,51,0,Haven,12728,502,3,0
401879,9,50935,580.0,2160.0,1,3,1,0,51,0,Haven,12728,502,3,0
401879,9,97744,0.0,2160.0,0,3,1,0,98,0,Haven,12728,502,3,0
401880,10,0,2220.0,3320.0,5,5,1,0,0,0,Haven,12728,502,3,1
401880,10,11436,2220.0,2740.0,5,4,1,0,11,0,Haven,12728,502,3,1
401880,10,21657,1640.0,2740.0,4,4,1,0,22,0,Haven,12728,502,3,1
401880,10,25837,1640.0,2160.0,4,3,1,0,26,0,Haven,12728,502,3,1
401880,10,27849,1640.0,1580.0,4,2,1,0,28,0,Haven,12728,502,3,1
401880,10,28487,1640.0,580.0,4,1,0,0,28,0,Haven,12728,502,3,1
401880,10,36526,1640.0,580.0,4,1,0,0,37,0,Haven,12728,502,3,1
401880,10,41217,1640.0,0.0,4,0,0,0,0,5,Haven,12728,502,3,1
401881,11,0,2800.0,3320.0,5,5,1,0,0,0,Haven,12728,502,3,0
401881,11,8430,2220.0,3320.0,4,5,1,0,8,0,Haven,12728,502,3,0
401881,11,11002,1740.0,3320.0,3,5,1,0,11,0,Haven,12728,502,3,0
401881,11,17562,1160.0,3320.0,2,5,1,0,18,0,Haven,12728,502,3,0
401881,11,19112,580.0,3320.0,1,5,1,0,19,0,Haven,12728,502,3,0
401881,11,20117,0.0,3320.0,0,5,1,0,20,0,Haven,12728,502,3,0
401882,12,0,2480.0,3740.0,5,5,1,0,0,0,Haven,12728,502,3,0
401882,12,63285,2320.0,3740.0,4,5,1,0,63,0,Haven,12728,502,3,0
401882,12,78901,1740.0,3740.0,3,5,1,0,79,0,Haven,12728,502,3,0
401882,12,82449,1160.0,3740.0,2,5,1,0,82,0,Haven,12728,502,3,0
401882,12,87639,580.0,3740.0,1,5,1,0,88,0,Haven,12728,502,3,0
401882,12,88748,580.0,3160.0,1,4,1,0,89,0,Haven,12728,502,3,0
401882,12,91157,0.0,3160.0,0,4,1,0,91,0,Haven,12728,502,3,0
401883,13,0,400.0,300.0,5,5,0,0,0,0,Haven,12728,502,3,1
